No.,Symbol,Name,%Weight,Shares
1,AAPL,Apple Inc.,7.00%,"163,904,568"
2,MSFT,Microsoft Corporation,6.50%,"82,429,004"
3,AMZN,"Amazon.com, Inc.",3.36%,"98,958,381"
4,NVDA,NVIDIA Corporation,2.97%,"27,416,819"
5,GOOGL,Alphabet Inc.,2.07%,"65,890,193"
6,META,"Meta Platforms, Inc.",1.85%,"24,534,454"
7,TSLA,"Tesla, Inc.",1.79%,"29,879,413"
8,GOOG,Alphabet Inc.,1.79%,"56,677,955"
9,BRK.B,Berkshire Hathaway Inc.,1.71%,"19,778,391"
10,UNH,UnitedHealth Group Incorporated,1.26%,"10,325,859"
11,JPM,JPMorgan Chase & Co.,1.21%,"32,410,375"
12,JNJ,Johnson & Johnson,1.19%,"28,821,962"
13,XOM,Exxon Mobil Corporation,1.15%,"44,840,179"
14,V,Visa Inc.,1.03%,"17,947,309"
15,AVGO,Broadcom Inc.,0.99%,"4,621,867"
16,PG,The Procter & Gamble Company,0.98%,"26,133,089"
17,LLY,Eli Lilly and Company,0.95%,"8,736,288"
18,HD,"The Home Depot, Inc.",0.88%,"11,231,221"
19,MA,Mastercard Incorporated,0.88%,"9,280,260"
20,CVX,Chevron Corporation,0.75%,"19,731,045"
21,MRK,"Merck & Co., Inc.",0.71%,"28,142,056"
22,ABBV,AbbVie Inc.,0.70%,"19,590,005"
23,PEP,"PepsiCo, Inc.",0.68%,"15,256,213"
24,COST,Costco Wholesale Corporation,0.66%,"4,915,569"
25,ADBE,Adobe Inc.,0.64%,"5,087,353"
26,KO,The Coca-Cola Company,0.63%,"43,114,075"
27,WMT,Walmart Inc.,0.60%,"15,534,410"
28,BAC,Bank of America Corporation,0.59%,"76,893,972"
29,CSCO,"Cisco Systems, Inc.",0.57%,"45,405,655"
30,TMO,Thermo Fisher Scientific Inc.,0.56%,"4,277,909"
31,MCD,MCDONALD S CORP,0.56%,"8,093,859"
32,CRM,"Salesforce, Inc.",0.56%,"10,858,135"
33,PFE,Pfizer Inc.,0.53%,"62,610,562"
34,ACN,Accenture plc,0.53%,"7,004,175"
35,NFLX,"Netflix, Inc.",0.52%,"4,933,209"
36,CMCSA,Comcast Corporation,0.50%,"46,130,992"
37,ABT,Abbott Laboratories,0.50%,"19,314,771"
38,LIN.DE,LINDE PLC,0.50%,"5,430,009"
39,AMD,"Advanced Micro Devices, Inc.",0.50%,"17,860,534"
40,ORCL,Oracle Corporation,0.47%,"17,067,395"
41,DHR,Danaher Corporation,0.45%,"7,365,484"
42,WFC,Wells Fargo & Company,0.45%,"41,615,047"
43,DIS,The Walt Disney Company,0.42%,"20,236,172"
44,TXN,Texas Instruments Incorporated,0.40%,"10,036,267"
45,PM,Philip Morris International Inc.,0.40%,"17,172,382"
46,INTC,Intel Corporation,0.39%,"46,259,849"
47,CAT,Caterpillar Inc.,0.38%,"5,715,681"
48,INTU,Intuit Inc.,0.38%,"3,117,023"
49,UNP,Union Pacific Corporation,0.37%,"6,777,803"
50,NEE,"NextEra Energy, Inc.",0.37%,"22,441,229"
